Red Huffman Tree

(Color, Frequency, Huffman Representation, Total Bits)

( 10, 957, 11011, 5 * 957 )
( 13, 977, 01011, 5 * 977 )
( 22, 975, 10000, 5 * 975 )
( 29, 948, 11111, 5 * 948 )
( 41, 956, 11110, 5 * 956 )
( 44, 928, 010010, 6 * 928 )
( 55, 928, 010001, 6 * 928 )
( 62, 947, 000100, 6 * 947 )
( 69, 967, 10100, 5 * 967 )
( 71, 938, 001010, 6 * 938 )
( 73, 938, 001011, 6 * 938 )
( 75, 966, 10101, 5 * 966 )
( 76, 976, 01101, 5 * 976 )
( 78, 947, 000011, 6 * 947 )
( 87, 975, 01111, 5 * 975 )
( 89, 957, 11010, 5 * 957 )
( 97, 968, 10001, 5 * 968 )
( 99, 938, 001000, 6 * 938 )
( 111, 966, 10111, 5 * 966 )
( 118, 929, 010000, 6 * 929 )
( 122, 957, 11101, 5 * 957 )
( 133, 948, 000001, 6 * 948 )
( 137, 976, 01100, 5 * 976 )
( 144, 939, 000110, 6 * 939 )
( 156, 967, 10011, 5 * 967 )
( 158, 937, 001100, 6 * 937 )
( 166, 947, 000101, 6 * 947 )
( 168, 930, 001101, 6 * 930 )
( 177, 958, 11001, 5 * 958 )
( 179, 929, 001111, 6 * 929 )
( 180, 939, 000111, 6 * 939 )
( 182, 967, 10010, 5 * 967 )
( 184, 966, 10110, 5 * 966 )
( 186, 938, 001001, 6 * 938 )
( 193, 958, 11000, 5 * 958 )
( 200, 977, 01010, 5 * 977 )
( 211, 976, 01110, 5 * 976 )
( 214, 948, 000010, 6 * 948 )
( 226, 957, 11100, 5 * 957 )
( 233, 929, 001110, 6 * 929 )
( 242, 928, 010011, 6 * 928 )
( 245, 948, 000000, 6 * 948 )

With total of 27344.125 bytes

Green Huffman Tree

(Color, Frequency, Huffman Representation, Total Bits)

( 6, 461, 1010000, 7 * 461 )
( 20, 471, 101101, 6 * 471 )
( 22, 1442, 00101, 5 * 1442 )
( 31, 1432, 10011, 5 * 1432 )
( 34, 466, 110110, 6 * 466 )
( 37, 467, 110001, 6 * 467 )
( 39, 1434, 01110, 5 * 1434 )
( 43, 462, 111010, 6 * 462 )
( 44, 472, 101010, 6 * 472 )
( 48, 467, 110011, 6 * 467 )
( 55, 466, 110100, 6 * 466 )
( 59, 1443, 00010, 5 * 1443 )
( 66, 1433, 10000, 5 * 1433 )
( 78, 466, 110101, 6 * 466 )
( 89, 1442, 00011, 5 * 1442 )
( 91, 468, 110000, 6 * 468 )
( 92, 467, 110010, 6 * 467 )
( 100, 462, 111011, 6 * 462 )
( 113, 471, 101100, 6 * 471 )
( 116, 1442, 00100, 5 * 1442 )
( 122, 1434, 01111, 5 * 1434 )
( 133, 470, 101111, 6 * 470 )
( 139, 462, 111001, 6 * 462 )
( 142, 1434, 01101, 5 * 1434 )
( 155, 1443, 00001, 5 * 1443 )
( 163, 1438, 01001, 5 * 1438 )
( 164, 1437, 01100, 5 * 1437 )
( 166, 463, 110111, 6 * 463 )
( 177, 1439, 00110, 5 * 1439 )
( 189, 472, 101011, 6 * 472 )
( 196, 461, 1010001, 7 * 461 )
( 200, 1438, 01000, 5 * 1438 )
( 207, 1438, 01010, 5 * 1438 )
( 211, 1433, 10010, 5 * 1433 )
( 212, 1443, 00000, 5 * 1443 )
( 216, 471, 101110, 6 * 471 )
( 218, 1438, 01011, 5 * 1438 )
( 221, 1439, 00111, 5 * 1439 )
( 224, 473, 101001, 6 * 473 )
( 233, 463, 111000, 6 * 463 )
( 235, 1433, 10001, 5 * 1433 )
( 249, 1444, 1111, 4 * 1444 )

With total of 26159.875 bytes

Blue Huffman Tree

(Color, Frequency, Huffman Representation, Total Bits)

( 11, 1436, 00101, 5 * 1436 )
( 18, 470, 110101, 6 * 470 )
( 21, 465, 1010000, 7 * 465 )
( 27, 470, 110110, 6 * 470 )
( 33, 1430, 01101, 5 * 1430 )
( 45, 473, 110000, 6 * 473 )
( 56, 475, 101101, 6 * 475 )
( 58, 1440, 00000, 5 * 1440 )
( 61, 1428, 10010, 5 * 1428 )
( 77, 1436, 00100, 5 * 1436 )
( 81, 1434, 01000, 5 * 1434 )
( 83, 467, 111001, 6 * 467 )
( 88, 1432, 01010, 5 * 1432 )
( 98, 466, 111011, 6 * 466 )
( 103, 1432, 01100, 5 * 1432 )
( 105, 1428, 10001, 5 * 1428 )
( 108, 477, 101010, 6 * 477 )
( 110, 1434, 01001, 5 * 1434 )
( 112, 478, 101001, 6 * 478 )
( 117, 1430, 01111, 5 * 1430 )
( 124, 1438, 00011, 5 * 1438 )
( 131, 467, 111010, 6 * 467 )
( 138, 475, 101111, 6 * 475 )
( 143, 1426, 10011, 5 * 1426 )
( 145, 471, 110011, 6 * 471 )
( 147, 1428, 10000, 5 * 1428 )
( 150, 477, 101011, 6 * 477 )
( 152, 473, 110001, 6 * 473 )
( 157, 1438, 00001, 5 * 1438 )
( 167, 472, 110010, 6 * 472 )
( 172, 1438, 00010, 5 * 1438 )
( 174, 471, 110100, 6 * 471 )
( 178, 468, 111000, 6 * 468 )
( 194, 476, 101100, 6 * 476 )
( 197, 465, 1010001, 7 * 465 )
( 199, 1430, 01110, 5 * 1430 )
( 210, 1432, 01011, 5 * 1432 )
( 222, 475, 101110, 6 * 475 )
( 228, 1435, 00110, 5 * 1435 )
( 234, 1440, 1111, 4 * 1440 )
( 237, 1435, 00111, 5 * 1435 )
( 244, 469, 110111, 6 * 469 )

With total of 26173.75 bytes

Total memory after compression is 27344.125 + 26173.75 + 26159.875 = 79677.75 bytes
Compression ratio is 66.398125%
------------------------- End of logs ----------------------------
