Red Huffman Tree

(Color, Frequency, Huffman Representation, Total Bits)

( 0, 2638, 10011010000110, 14 * 2638 )
( 2, 2366, 10011010000111, 14 * 2366 )
( 4, 3361, 00011100101001, 14 * 3361 )
( 6, 4560, 00011100101000, 14 * 4560 )
( 8, 6139, 1001101000010, 13 * 6139 )
( 10, 7486, 0001110010101, 13 * 7486 )
( 12, 8930, 100110100101, 12 * 8930 )
( 14, 9880, 100110100100, 12 * 9880 )
( 16, 11523, 100110100000, 12 * 11523 )
( 18, 13856, 000111001011, 12 * 13856 )
( 20, 17323, 10011010011, 11 * 17323 )
( 22, 22592, 10011010001, 11 * 22592 )
( 24, 31735, 00011100100, 11 * 31735 )
( 26, 49794, 0001110011, 10 * 49794 )
( 28, 78637, 100110101, 9 * 78637 )
( 30, 119498, 000100000, 9 * 119498 )
( 32, 179647, 01010111, 8 * 179647 )
( 34, 256739, 1111011, 7 * 256739 )
( 36, 347446, 0111100, 7 * 347446 )
( 38, 453496, 0001011, 7 * 453496 )
( 40, 556793, 110001, 6 * 556793 )
( 42, 632872, 100101, 6 * 632872 )
( 44, 704567, 011100, 6 * 704567 )
( 46, 758659, 010011, 6 * 758659 )
( 48, 769957, 001111, 6 * 769957 )
( 50, 733964, 011001, 6 * 733964 )
( 52, 668315, 100010, 6 * 668315 )
( 54, 606416, 101001, 6 * 606416 )
( 56, 542808, 110011, 6 * 542808 )
( 58, 478878, 0000100, 7 * 478878 )
( 60, 424964, 0010101, 7 * 424964 )
( 62, 380635, 0101000, 7 * 380635 )
( 64, 348919, 0111011, 7 * 348919 )
( 66, 329558, 0111111, 7 * 329558 )
( 68, 315852, 1001100, 7 * 315852 )
( 70, 308906, 1010000, 7 * 308906 )
( 72, 305454, 1010100, 7 * 305454 )
( 74, 306932, 1010001, 7 * 306932 )
( 76, 309772, 1001111, 7 * 309772 )
( 78, 317666, 1001001, 7 * 317666 )
( 80, 326589, 1001000, 7 * 326589 )
( 82, 339219, 0111101, 7 * 339219 )
