Red Huffman Tree

(Color, Frequency, Huffman Representation, Total Bits)

( 8, 2, 01000100100111111, 17 * 2 )
( 12, 11, 01000100100111110, 17 * 11 )
( 14, 60, 0100010010011110, 16 * 60 )
( 16, 233, 010001001001110, 15 * 233 )
( 18, 626, 01000100100110, 14 * 626 )
( 20, 1339, 0100010010010, 13 * 1339 )
( 22, 2808, 010001001000, 12 * 2808 )
( 24, 4970, 01000100101, 11 * 4970 )
( 26, 7270, 0111111101, 10 * 7270 )
( 28, 8496, 0111111100, 10 * 8496 )
( 30, 9863, 0100010011, 10 * 9863 )
( 32, 11795, 101010001, 9 * 11795 )
( 34, 14150, 100111100, 9 * 14150 )
( 36, 17309, 010110111, 9 * 17309 )
( 38, 20345, 010001000, 9 * 20345 )
( 40, 24058, 10100110, 8 * 24058 )
( 42, 27329, 10011011, 8 * 27329 )
( 44, 29767, 10010010, 8 * 29767 )
( 46, 32150, 01111010, 8 * 32150 )
( 48, 33852, 01101100, 8 * 33852 )
( 50, 35908, 01100010, 8 * 35908 )
( 52, 37336, 01010101, 8 * 37336 )
( 54, 37836, 01010001, 8 * 37836 )
( 56, 38289, 01001001, 8 * 38289 )
( 58, 37863, 01010000, 8 * 37863 )
( 60, 37632, 01010010, 8 * 37632 )
( 62, 38125, 01001100, 8 * 38125 )
( 64, 37476, 01010100, 8 * 37476 )
( 66, 37527, 01010011, 8 * 37527 )
( 68, 37332, 01010110, 8 * 37332 )
( 70, 37102, 01011010, 8 * 37102 )
( 72, 37166, 01010111, 8 * 37166 )
( 74, 36104, 01011110, 8 * 36104 )
( 76, 35790, 01100011, 8 * 35790 )
( 78, 34934, 01100111, 8 * 34934 )
( 80, 34873, 01101000, 8 * 34873 )
( 82, 33971, 01101001, 8 * 33971 )
( 84, 33125, 01110011, 8 * 33125 )
( 86, 32595, 01110101, 8 * 32595 )
( 88, 31862, 01111011, 8 * 31862 )
( 90, 31714, 01111100, 8 * 31714 )
( 92, 30814, 10000100, 8 * 30814 )
( 94, 30707, 10000101, 8 * 30707 )
( 96, 30249, 10001011, 8 * 30249 )
( 98, 30391, 10001000, 8 * 30391 )
( 100, 30488, 10000111, 8 * 30488 )
( 102, 30353, 10001001, 8 * 30353 )
( 104, 30147, 10001100, 8 * 30147 )
( 106, 30019, 10010000, 8 * 30019 )
( 108, 30050, 10001101, 8 * 30050 )
( 110, 30307, 10001010, 8 * 30307 )
( 112, 30600, 10000110, 8 * 30600 )
( 114, 31285, 01111110, 8 * 31285 )
( 116, 31665, 01111101, 8 * 31665 )
( 118, 32435, 01110111, 8 * 32435 )
( 120, 32975, 01110100, 8 * 32975 )
( 122, 33562, 01101101, 8 * 33562 )
( 124, 34948, 01100110, 8 * 34948 )
( 126, 36088, 01011111, 8 * 36088 )
( 128, 37915, 01001101, 8 * 37915 )
( 130, 39211, 01000101, 8 * 39211 )
( 132, 40382, 1111111, 7 * 40382 )
( 134, 42373, 1100111, 7 * 42373 )
( 136, 44840, 1010111, 7 * 44840 )
( 138, 47249, 1010101, 7 * 47249 )
( 140, 49161, 1010010, 7 * 49161 )
( 142, 51672, 1010000, 7 * 51672 )
( 144, 54231, 1001110, 7 * 54231 )
( 146, 57009, 1001011, 7 * 57009 )
( 148, 59992, 1000111, 7 * 59992 )
( 150, 61776, 1000001, 7 * 61776 )
( 152, 64817, 0111100, 7 * 64817 )
( 154, 66887, 0111000, 7 * 66887 )
( 156, 68758, 0110101, 7 * 68758 )
( 158, 70937, 0110010, 7 * 70937 )
( 160, 72792, 0101110, 7 * 72792 )
( 162, 74298, 0101100, 7 * 74298 )
( 164, 75854, 0100111, 7 * 75854 )
( 166, 77419, 0100011, 7 * 77419 )
( 168, 79666, 0100001, 7 * 79666 )
( 170, 81761, 111110, 6 * 81761 )
( 172, 83103, 111100, 6 * 83103 )
( 174, 84390, 111001, 6 * 84390 )
( 176, 84464, 111000, 6 * 84464 )
( 178, 85079, 110010, 6 * 85079 )
( 180, 86322, 101101, 6 * 86322 )
( 182, 86526, 101100, 6 * 86526 )
( 184, 85792, 101110, 6 * 85792 )
( 186, 85260, 110000, 6 * 85260 )
( 188, 84923, 110101, 6 * 84923 )
( 190, 85194, 110001, 6 * 85194 )
( 192, 85025, 110100, 6 * 85025 )
( 194, 84671, 110111, 6 * 84671 )
( 196, 84055, 111011, 6 * 84055 )
( 198, 84712, 110110, 6 * 84712 )
( 200, 85276, 101111, 6 * 85276 )
( 202, 84110, 111010, 6 * 84110 )
( 204, 81991, 111101, 6 * 81991 )
( 206, 79814, 0100000, 7 * 79814 )
( 208, 76072, 0100101, 7 * 76072 )
( 210, 71701, 0110000, 7 * 71701 )
( 212, 66918, 0110111, 7 * 66918 )
( 214, 62054, 1000000, 7 * 62054 )
( 216, 58822, 1001010, 7 * 58822 )
( 218, 55731, 1001100, 7 * 55731 )
( 220, 51488, 1010001, 7 * 51488 )
( 222, 46764, 1010110, 7 * 46764 )
( 224, 42697, 1100110, 7 * 42697 )
( 226, 38738, 01001000, 8 * 38738 )
( 228, 33151, 01110010, 8 * 33151 )
( 230, 29794, 10010001, 8 * 29794 )
( 232, 27634, 10011010, 8 * 27634 )
( 234, 25705, 10011111, 8 * 25705 )
( 236, 23939, 10100111, 8 * 23939 )
( 238, 23664, 10101001, 8 * 23664 )
( 240, 29347, 10010011, 8 * 29347 )
( 242, 40475, 1111110, 7 * 40475 )
( 244, 32484, 01110110, 8 * 32484 )
( 246, 19552, 010110110, 9 * 19552 )
( 248, 13169, 100111101, 9 * 13169 )
( 250, 12122, 101010000, 9 * 12122 )
( 252, 15204, 011111111, 9 * 15204 )
( 254, 2989392, 00, 2 * 2989392 )

With total of 5471827 bytes

Green Huffman Tree

(Color, Frequency, Huffman Representation, Total Bits)

( 0, 2, 101111101111, 12 * 2 )
( 4, 64, 101111101110, 12 * 64 )
( 8, 1227, 10111110110, 11 * 1227 )
( 12, 7345, 1011111010, 10 * 7345 )
( 16, 17063, 10111111, 8 * 17063 )
( 20, 25500, 10100110, 8 * 25500 )
( 24, 36267, 1110111, 7 * 36267 )
( 28, 48839, 1011000, 7 * 48839 )
( 32, 61319, 1001000, 7 * 61319 )
( 36, 72605, 0101111, 7 * 72605 )
( 40, 81592, 110101, 6 * 81592 )
( 44, 83730, 110010, 6 * 83730 )
( 48, 84200, 110001, 6 * 84200 )
( 52, 84287, 110000, 6 * 84287 )
( 56, 81729, 110100, 6 * 81729 )
( 60, 80663, 110110, 6 * 80663 )
( 64, 79402, 111000, 6 * 79402 )
( 68, 75982, 111010, 6 * 75982 )
( 72, 72849, 0101110, 7 * 72849 )
( 76, 70794, 0110101, 7 * 70794 )
( 80, 69042, 0110111, 7 * 69042 )
( 84, 68487, 0111100, 7 * 68487 )
( 88, 69509, 0110110, 7 * 69509 )
( 92, 71260, 0110100, 7 * 71260 )
( 96, 73708, 0100001, 7 * 73708 )
( 100, 77777, 111001, 6 * 77777 )
( 104, 79890, 110111, 6 * 79890 )
( 108, 83426, 110011, 6 * 83426 )
( 112, 89086, 101110, 6 * 89086 )
( 116, 97474, 101011, 6 * 97474 )
( 120, 108703, 101000, 6 * 108703 )
( 124, 117497, 100101, 6 * 117497 )
( 128, 126368, 100001, 6 * 126368 )
( 132, 130844, 011111, 6 * 130844 )
( 136, 135782, 011101, 6 * 135782 )
( 140, 142086, 011001, 6 * 142086 )
( 144, 145926, 010101, 6 * 145926 )
( 148, 149134, 11111, 5 * 149134 )
( 152, 150004, 11110, 5 * 150004 )
( 156, 148378, 010001, 6 * 148378 )
( 160, 145868, 010110, 6 * 145868 )
( 164, 146161, 010100, 6 * 146161 )
( 168, 147393, 010010, 6 * 147393 )
( 172, 147217, 010011, 6 * 147217 )
( 176, 143143, 011000, 6 * 143143 )
( 180, 137508, 011100, 6 * 137508 )
( 184, 129693, 100000, 6 * 129693 )
( 188, 123316, 100010, 6 * 123316 )
( 192, 120512, 100011, 6 * 120512 )
( 196, 117188, 100110, 6 * 117188 )
( 200, 111384, 100111, 6 * 111384 )
( 204, 104126, 101010, 6 * 104126 )
( 208, 91500, 101101, 6 * 91500 )
( 212, 75291, 0100000, 7 * 75291 )
( 216, 66999, 0111101, 7 * 66999 )
( 220, 55479, 1010010, 7 * 55479 )
( 224, 45243, 1011110, 7 * 45243 )
( 228, 32918, 10010010, 8 * 32918 )
( 232, 26060, 10010011, 8 * 26060 )
( 236, 23969, 10100111, 8 * 23969 )
( 240, 39152, 1110110, 7 * 39152 )
( 244, 47564, 1011001, 7 * 47564 )
( 248, 13739, 101111100, 9 * 13739 )
( 252, 3003137, 00, 2 * 3003137 )

With total of 4853408.625 bytes

Blue Huffman Tree

(Color, Frequency, Huffman Representation, Total Bits)

( 0, 58, 010110011111, 12 * 58 )
( 4, 304, 010110011110, 12 * 304 )
( 8, 1613, 01011001110, 11 * 1613 )
( 12, 7998, 0101100110, 10 * 7998 )
( 16, 20528, 010110010, 9 * 20528 )
( 20, 29301, 10011110, 8 * 29301 )
( 24, 41488, 01000011, 8 * 41488 )
( 28, 55974, 1001110, 7 * 55974 )
( 32, 69126, 0100100, 7 * 69126 )
( 36, 81182, 0100010, 7 * 81182 )
( 40, 91171, 111010, 6 * 91171 )
( 44, 96298, 110110, 6 * 96298 )
( 48, 99919, 110001, 6 * 99919 )
( 52, 103561, 101100, 6 * 103561 )
( 56, 107354, 101001, 6 * 107354 )
( 60, 110941, 100101, 6 * 110941 )
( 64, 112509, 100010, 6 * 112509 )
( 68, 112291, 100011, 6 * 112291 )
( 72, 112173, 100100, 6 * 112173 )
( 76, 110907, 100110, 6 * 110907 )
( 80, 107214, 101011, 6 * 107214 )
( 84, 103312, 101101, 6 * 103312 )
( 88, 99827, 110010, 6 * 99827 )
( 92, 96299, 110101, 6 * 96299 )
( 96, 93761, 110111, 6 * 93761 )
( 100, 90642, 111100, 6 * 90642 )
( 104, 87822, 111111, 6 * 87822 )
( 108, 86871, 0100000, 7 * 86871 )
( 112, 88148, 111110, 6 * 88148 )
( 116, 90777, 111011, 6 * 90777 )
( 120, 93588, 111000, 6 * 93588 )
( 124, 97112, 110100, 6 * 97112 )
( 128, 99004, 110011, 6 * 99004 )
( 132, 102847, 101110, 6 * 102847 )
( 136, 107805, 101000, 6 * 107805 )
( 140, 112655, 100000, 6 * 112655 )
( 144, 116761, 011101, 6 * 116761 )
( 148, 119775, 011011, 6 * 119775 )
( 152, 120049, 011010, 6 * 120049 )
( 156, 121604, 011001, 6 * 121604 )
( 160, 122335, 011000, 6 * 122335 )
( 164, 123740, 010101, 6 * 123740 )
( 168, 125571, 010011, 6 * 125571 )
( 172, 125089, 010100, 6 * 125089 )
( 176, 122529, 010111, 6 * 122529 )
( 180, 119373, 011100, 6 * 119373 )
( 184, 116625, 011110, 6 * 116625 )
( 188, 114661, 011111, 6 * 114661 )
( 192, 112601, 100001, 6 * 112601 )
( 196, 107306, 101010, 6 * 107306 )
( 200, 101145, 101111, 6 * 101145 )
( 204, 93058, 111001, 6 * 93058 )
( 208, 80092, 0100011, 7 * 80092 )
( 212, 68069, 0100101, 7 * 68069 )
( 216, 59296, 0101101, 7 * 59296 )
( 220, 50132, 1100001, 7 * 50132 )
( 224, 42857, 1111011, 7 * 42857 )
( 228, 33216, 01011000, 8 * 33216 )
( 232, 23939, 11110100, 8 * 23939 )
( 236, 21900, 11110101, 8 * 21900 )
( 240, 24015, 10011111, 8 * 24015 )
( 244, 42084, 01000010, 8 * 42084 )
( 248, 50939, 1100000, 7 * 50939 )
( 252, 3013259, 00, 2 * 3013259 )

With total of 4861700.125 bytes

Total memory after compression is 5471827 + 4861700.125 + 4853408.625 = 15186935.75 bytes
Compression ratio is 61.0328886557999%
------------------------- End of logs ----------------------------
